round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
398,0.7334,0.2890,446958480,0.004508,0,3,4,3,0,1.0889,1.2876,2,topk,1,1
399,0.7085,0.3371,446958480,0.004499,0,0,6,4,0,0.6730,1.2876,2,topk,1,1
400,0.5449,0.3235,446958480,0.004490,0,0,4,0,6,0.6730,1.2876,4,interp1,1,1
401,0.7195,0.3488,446958480,0.004481,0,4,6,0,0,0.6730,1.2876,2,topk,1,1
402,0.7735,0.2654,446958480,0.004472,5,0,5,0,0,0.6931,1.2876,0,stab,1,1
403,0.7251,0.1825,446958480,0.004463,5,0,5,0,0,0.6931,1.2876,0,stab,1,1
404,0.6600,0.1374,446958480,0.004454,0,0,3,0,7,0.6109,1.2876,4,interp1,1,1
405,0.7875,0.2345,446958480,0.004445,0,4,6,0,0,0.6730,1.2876,2,topk,1,1
406,0.6646,0.2899,446958480,0.004436,5,0,5,0,0,0.6931,1.2876,0,stab,1,1
407,0.6598,0.2794,446958480,0.004427,0,0,4,0,6,0.6730,1.2876,4,interp1,1,1
408,0.8054,0.1485,446958480,0.004418,5,0,5,0,0,0.6931,1.2876,0,stab,1,1
409,0.6623,0.1862,446958480,0.004410,1,0,3,6,0,0.8979,1.2876,3,interp0,1,1
410,0.7542,0.2642,446958480,0.004401,0,4,4,2,0,1.0549,1.2876,1,used,1,1
411,0.7747,0.1869,446958480,0.004392,3,1,2,2,2,1.5571,1.2876,0,stab,1,0
412,0.6495,0.2174,446958480,0.004383,0,0,5,1,4,0.9433,1.2876,2,topk,1,1
413,0.6619,0.2203,446958480,0.004374,4,1,2,0,3,1.2799,1.2876,0,stab,1,1
414,0.7369,0.1692,446958480,0.004366,1,0,1,4,4,1.1935,1.2876,3,interp0,1,1
415,0.7538,0.1881,446958480,0.004357,3,1,2,2,2,1.5571,1.2876,0,stab,1,0
416,0.7779,0.0963,446958480,0.004348,0,2,4,0,4,1.0549,1.2876,2,topk,1,1
417,0.6367,0.1892,446958480,0.004339,0,0,4,3,3,1.0889,1.2876,2,topk,1,1
418,0.7737,0.1436,446958480,0.004331,3,3,3,1,0,1.3138,1.2876,0,stab,1,0
419,0.7820,0.1445,446958480,0.004322,1,1,2,3,3,1.5048,1.2876,3,interp0,1,0
420,0.6169,0.2933,446958480,0.004313,0,4,3,2,1,1.2799,1.2876,1,used,1,1
421,0.7792,0.2153,446958480,0.004305,1,0,5,3,1,1.1683,1.2876,2,topk,1,1
422,0.7463,0.1217,446958480,0.004296,0,5,1,2,2,1.2206,1.2876,1,used,1,1
423,0.6490,0.3122,446958480,0.004288,0,2,6,1,1,1.0889,1.2876,2,topk,1,1
424,0.7329,0.1842,446958480,0.004279,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
425,0.6947,0.3175,446958480,0.004271,0,6,2,2,0,0.9503,1.2876,1,used,1,1
426,0.7556,0.1869,446958480,0.004262,0,3,2,3,2,1.3662,1.2876,1,used,1,0
427,0.7455,0.1111,446958480,0.004253,0,2,3,2,3,1.3662,1.2876,2,topk,1,0
428,0.7901,0.2517,446958480,0.004245,1,0,4,2,3,1.2799,1.2876,2,topk,1,1
429,0.7590,0.1841,446958480,0.004236,1,3,3,2,1,1.5048,1.2876,1,used,1,0
430,0.8082,0.2664,446958480,0.004228,1,0,4,5,0,0.9433,1.2876,3,interp0,1,1
431,0.6848,0.1584,446958480,0.004220,0,0,6,4,0,0.6730,1.2876,2,topk,1,1
432,0.8024,0.1267,446958480,0.004211,6,0,4,0,0,0.6730,1.2876,0,stab,1,1
433,0.7289,0.1623,446958480,0.004203,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
