round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
602,0.7694,0.1071,446958480,0.002996,0,0,0,1,0,0,4,1,1,3,1.4185,1.8421,6,interp3,1,1
603,0.7928,0.1593,446958480,0.002990,0,1,3,0,1,0,0,0,2,3,1.5048,1.8421,2,topk,1,1
604,0.8521,0.0640,446958480,0.002984,0,0,0,1,1,4,1,1,1,1,1.7481,1.8421,5,interp2,1,1
605,0.8288,0.0681,446958480,0.002978,0,0,0,1,1,0,5,1,1,1,1.4979,1.8421,6,interp3,1,1
606,0.8090,0.0848,446958480,0.002972,0,1,0,1,1,0,5,0,1,1,1.4979,1.8421,6,interp3,1,1
607,0.8012,0.1344,446958480,0.002966,0,1,1,0,0,0,2,1,4,1,1.6094,1.8421,8,seed0,1,1
608,0.8273,0.0757,446958480,0.002961,2,0,1,1,1,2,1,0,2,0,1.8867,1.8421,0,stab,1,0
609,0.8325,0.1156,446958480,0.002955,0,2,0,0,2,1,0,2,2,1,1.7481,1.8421,1,used,1,1
610,0.7483,0.1619,446958480,0.002949,0,0,0,1,0,1,4,1,1,2,1.6094,1.8421,6,interp3,1,1
611,0.6695,0.1421,446958480,0.002943,0,0,1,4,1,0,0,0,1,3,1.4185,1.8421,3,interp0,1,1
612,0.7549,0.1865,446958480,0.002937,0,2,0,3,1,0,0,2,1,1,1.6957,1.8421,3,interp0,1,1
613,0.7230,0.1427,446958480,0.002931,0,0,0,2,2,1,1,0,2,2,1.7481,1.8421,3,interp0,1,1
614,0.6952,0.1398,446958480,0.002925,0,0,1,0,3,2,2,0,1,1,1.6957,1.8421,4,interp1,1,1
615,0.7102,0.1449,446958480,0.002919,0,0,1,0,2,3,1,1,2,0,1.6957,1.8421,5,interp2,1,1
616,0.8337,0.1307,446958480,0.002913,0,0,1,4,3,0,1,0,0,1,1.4185,1.8421,3,interp0,1,1
617,0.7979,0.0997,446958480,0.002908,0,0,0,6,0,0,1,0,3,0,0.8979,1.8421,3,interp0,1,1
618,0.7895,0.1534,446958480,0.002902,0,0,2,4,0,0,0,2,1,1,1.4708,1.8421,3,interp0,1,1
619,0.8456,0.1045,446958480,0.002896,0,1,0,3,4,0,0,0,0,2,1.2799,1.8421,4,interp1,1,1
620,0.8424,0.0395,446958480,0.002890,0,0,1,1,0,6,2,0,0,0,1.0889,1.8421,5,interp2,1,1
621,0.8323,0.0705,446958480,0.002884,0,0,0,6,0,1,0,2,0,1,1.0889,1.8421,3,interp0,1,1
622,0.8553,0.0606,446958480,0.002879,0,0,0,1,0,1,5,0,3,0,1.1683,1.8421,6,interp3,1,1
623,0.8327,0.1111,446958480,0.002873,0,0,0,2,1,1,1,0,1,4,1.6094,1.8421,9,seed1,1,1
624,0.8494,0.0532,446958480,0.002867,0,4,0,1,0,3,0,0,1,1,1.4185,1.8421,1,used,1,1
625,0.8332,0.0578,446958480,0.002861,0,0,0,4,1,1,1,0,3,0,1.4185,1.8421,3,interp0,1,1
626,0.7987,0.1161,446958480,0.002856,0,1,0,0,0,2,3,1,0,3,1.5048,1.8421,6,interp3,1,1
627,0.8187,0.0616,446958480,0.002850,0,0,0,2,1,1,2,0,0,4,1.4708,1.8421,9,seed1,1,1
628,0.8659,0.0585,446958480,0.002844,0,0,1,2,0,3,1,1,1,1,1.8344,1.8421,5,interp2,1,1
629,0.8574,0.0960,446958480,0.002839,0,1,2,2,1,2,2,0,0,0,1.7481,1.8421,2,topk,1,1
630,0.8426,0.0550,446958480,0.002833,0,0,0,2,3,2,2,0,1,0,1.5571,1.8421,4,interp1,1,1
631,0.8067,0.0610,446958480,0.002827,0,0,0,1,3,0,2,0,1,3,1.5048,1.8421,4,interp1,1,1
632,0.8300,0.1387,446958480,0.002822,0,0,0,0,2,1,1,3,0,3,1.5048,1.8421,7,orth0,1,1
633,0.7676,0.0664,446958480,0.002816,0,0,0,2,0,0,3,0,0,5,1.0297,1.8421,9,seed1,1,1
634,0.7497,0.1395,446958480,0.002810,0,0,0,1,2,2,3,0,0,2,1.5571,1.8421,6,interp3,1,1
635,0.7901,0.1759,446958480,0.002805,0,0,0,0,0,0,3,3,4,0,1.0889,1.8421,8,seed0,1,1
636,0.8104,0.1829,446958480,0.002799,0,0,0,0,1,1,2,2,2,2,1.7481,1.8421,6,interp3,1,1
637,0.8154,0.1244,446958480,0.002794,0,1,0,0,5,0,1,0,2,1,1.3592,1.8421,4,interp1,1,1
638,0.8575,0.0684,446958480,0.002788,0,0,1,3,3,1,1,0,0,1,1.6434,1.8421,3,interp0,1,1
639,0.7735,0.0860,446958480,0.002782,0,1,1,2,2,1,2,0,1,0,1.8867,1.8421,3,interp0,1,0
640,0.7822,0.0900,446958480,0.002777,0,0,2,0,2,1,0,1,3,1,1.6957,1.8421,8,seed0,1,1
641,0.7900,0.0849,446958480,0.002771,0,2,0,3,0,0,0,0,4,1,1.2799,1.8421,8,seed0,1,1
642,0.7851,0.0597,446958480,0.002766,0,0,0,2,2,3,1,2,0,0,1.5571,1.8421,5,interp2,1,1
643,0.7598,0.0876,446958480,0.002760,0,0,0,1,3,2,1,0,1,2,1.6957,1.8421,4,interp1,1,1
644,0.8233,0.0425,446958480,0.002755,0,0,0,3,0,5,1,0,1,0,1.1683,1.8421,5,interp2,1,1
645,0.8056,0.0763,446958480,0.002749,0,0,0,1,3,0,0,0,0,6,0.8979,1.8421,9,seed1,1,1
646,0.8466,0.1214,446958480,0.002744,0,0,0,0,0,4,0,2,2,2,1.3322,1.8421,5,interp2,1,1
647,0.8232,0.0887,446958480,0.002738,0,0,1,0,1,2,0,2,2,2,1.7481,1.8421,5,interp2,1,1
648,0.8328,0.0538,446958480,0.002733,0,0,0,3,2,2,1,0,2,0,1.5571,1.8421,3,interp0,1,1
649,0.8042,0.0876,446958480,0.002727,0,0,2,0,3,2,0,0,2,1,1.5571,1.8421,4,interp1,1,1
650,0.8104,0.1452,446958480,0.002722,0,0,0,1,1,1,1,1,2,3,1.8344,1.8421,9,seed1,1,1
651,0.8327,0.0827,446958480,0.002716,0,0,0,3,2,2,1,0,2,0,1.5571,1.8421,3,interp0,1,1
652,0.8202,0.0725,446958480,0.002711,0,0,0,2,1,1,2,0,1,3,1.6957,1.8421,9,seed1,1,1
653,0.8558,0.0763,446958480,0.002705,0,2,0,0,2,2,2,0,2,0,1.6094,1.8421,1,used,1,1
654,0.8497,0.0707,446958480,0.002700,0,0,1,2,1,2,1,0,1,2,1.8867,1.8421,3,interp0,1,0
655,0.8210,0.0687,446958480,0.002695,0,0,0,1,3,0,4,0,2,0,1.2799,1.8421,6,interp3,1,1
656,0.8253,0.1002,446958480,0.002689,0,0,0,3,1,4,0,1,1,0,1.4185,1.8421,5,interp2,1,1
657,0.8259,0.0852,446958480,0.002684,0,1,0,5,1,0,0,0,1,2,1.3592,1.8421,3,interp0,1,1
658,0.8070,0.0674,446958480,0.002679,0,0,0,2,1,0,2,0,4,1,1.4708,1.8421,8,seed0,1,1
659,0.7671,0.0553,446958480,0.002673,0,0,0,2,2,0,2,1,2,1,1.7481,1.8421,3,interp0,1,1
660,0.8366,0.0567,446958480,0.002668,0,0,0,0,2,5,1,0,0,2,1.2206,1.8421,5,interp2,1,1
661,0.8570,0.0674,446958480,0.002662,0,0,1,0,1,1,0,5,2,0,1.3592,1.8421,7,orth0,1,1
662,0.7944,0.0591,446958480,0.002657,0,0,1,0,1,0,2,0,4,2,1.4708,1.8421,8,seed0,1,1
663,0.8167,0.0654,446958480,0.002652,0,0,0,0,2,3,2,1,2,0,1.5571,1.8421,5,interp2,1,1
664,0.8008,0.0794,446958480,0.002647,0,2,0,2,1,0,2,0,0,3,1.5571,1.8421,9,seed1,1,1
665,0.7722,0.0666,446958480,0.002641,0,0,0,1,1,0,0,2,4,2,1.4708,1.8421,8,seed0,1,1
666,0.7974,0.1011,446958480,0.002636,0,0,0,1,1,0,3,1,2,2,1.6957,1.8421,6,interp3,1,1
667,0.8557,0.0378,446958480,0.002631,3,0,0,3,4,0,0,0,0,0,1.0889,1.8421,4,interp1,1,1
668,0.8095,0.0930,446958480,0.002625,0,0,0,0,0,4,0,0,6,0,0.6730,1.8421,8,seed0,1,1
669,0.6193,0.2360,446958480,0.002620,2,0,0,0,0,1,0,3,3,1,1.5048,1.8421,7,orth0,1,1
670,0.7213,0.0717,446958480,0.002615,0,0,0,5,0,3,0,1,0,1,1.1683,1.8421,3,interp0,1,1
671,0.8169,0.1173,446958480,0.002610,0,3,1,1,2,0,2,1,0,0,1.6957,1.8421,1,used,1,1
672,0.7126,0.0903,446958480,0.002604,0,1,0,0,1,2,3,0,3,0,1.5048,1.8421,6,interp3,1,1
673,0.8317,0.0717,446958480,0.002599,0,1,0,2,0,1,2,0,1,3,1.6957,1.8421,9,seed1,1,1
674,0.8617,0.0681,446958480,0.002594,0,0,1,1,2,1,3,2,0,0,1.6957,1.8421,6,interp3,1,1
675,0.8313,0.1306,446958480,0.002589,0,1,0,2,2,0,0,1,2,2,1.7481,1.8421,3,interp0,1,1
