round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
961,0.9107,0.0090,446958480,0.001460,0,0,0,1,0,3,2,1,2,1,1.6957,1.8421,5,interp2,1,1
962,0.9109,0.0074,446958480,0.001457,0,0,0,4,0,1,0,0,0,5,0.9433,1.8421,9,seed1,1,1
963,0.9132,0.0101,446958480,0.001454,0,3,0,0,0,0,0,1,6,0,0.8979,1.8421,8,seed0,1,1
964,0.9131,0.0074,446958480,0.001452,1,5,0,0,1,0,0,1,1,1,1.4979,1.8421,1,used,1,1
965,0.9114,0.0147,446958480,0.001449,0,0,0,3,1,0,2,4,0,0,1.2799,1.8421,7,orth0,1,1
966,0.9120,0.0078,446958480,0.001446,0,0,0,2,1,1,0,1,4,1,1.6094,1.8421,8,seed0,1,1
967,0.9143,0.0066,446958480,0.001443,0,0,3,0,0,0,6,0,0,1,0.8979,1.8421,6,interp3,1,1
968,0.9123,0.0086,446958480,0.001440,0,0,0,2,0,0,0,5,0,3,1.0297,1.8421,7,orth0,1,1
969,0.9127,0.0048,446958480,0.001437,0,0,7,2,0,0,0,0,1,0,0.8018,1.8421,2,topk,1,1
970,0.9112,0.0084,446958480,0.001434,0,1,1,1,0,0,0,1,5,1,1.4979,1.8421,8,seed0,1,1
971,0.9103,0.0143,446958480,0.001431,0,0,0,5,1,0,1,0,2,1,1.3592,1.8421,3,interp0,1,1
972,0.9098,0.0147,446958480,0.001429,0,0,0,5,0,0,0,0,0,5,0.6931,1.8421,3,interp0,1,1
973,0.9117,0.0088,446958480,0.001426,0,1,0,0,0,0,0,3,2,4,1.2799,1.8421,9,seed1,1,1
974,0.9110,0.0096,446958480,0.001423,0,0,0,0,1,3,1,4,1,0,1.4185,1.8421,7,orth0,1,1
975,0.9120,0.0097,446958480,0.001420,0,0,2,0,4,0,0,3,1,0,1.2799,1.8421,4,interp1,1,1
976,0.9108,0.0095,446958480,0.001417,0,2,0,0,0,1,1,2,4,0,1.4708,1.8421,8,seed0,1,1
977,0.9093,0.0140,446958480,0.001414,0,0,1,1,1,0,1,0,6,0,1.2275,1.8421,8,seed0,1,1
978,0.9094,0.0091,446958480,0.001411,0,0,1,0,0,1,4,0,2,2,1.4708,1.8421,6,interp3,1,1
979,0.9125,0.0073,446958480,0.001409,0,1,1,1,0,0,0,3,1,3,1.6434,1.8421,7,orth0,1,1
980,0.9143,0.0082,446958480,0.001406,0,0,0,1,3,3,0,2,0,1,1.5048,1.8421,4,interp1,1,1
981,0.9139,0.0063,446958480,0.001403,0,1,2,1,0,0,1,1,3,1,1.8344,1.8421,8,seed0,1,1
982,0.9129,0.0058,446958480,0.001400,0,0,5,2,2,1,0,0,0,0,1.2206,1.8421,2,topk,1,1
983,0.9106,0.0129,446958480,0.001397,0,1,0,1,1,3,1,1,2,0,1.8344,1.8421,5,interp2,1,1
984,0.9100,0.0182,446958480,0.001395,0,0,1,1,0,3,5,0,0,0,1.1683,1.8421,6,interp3,1,1
985,0.9095,0.0117,446958480,0.001392,0,1,0,0,0,0,4,1,2,2,1.4708,1.8421,6,interp3,1,1
986,0.9089,0.0072,446958480,0.001389,0,0,0,2,0,1,3,0,0,4,1.2799,1.8421,9,seed1,1,1
